zonas,dolaresm2tot,nombre,geometry
Centro,347.27,Martín Coronado,"c(-58.590801, -34.583185)"
Caseros,2400,Caseros,"c(-58.556904, -34.609633)"
Caseros,2560,Caseros,"c(-58.556904, -34.609633)"
Centro,2795.7,Ciudad Jardín Lomas del Palomar,"c(-58.59526, -34.604176)"
Este,2596.49,Sáenz Peña,"c(-58.530357, -34.59847)"
Centro,2627.59,Martín Coronado,"c(-58.594692, -34.588099)"
Centro,2627.59,Martín Coronado,"c(-58.594692, -34.588099)"
Sur,254.9,Ciudadela,"c(-58.53115, -34.641855)"
Centro,202.56,Villa Bosch,"c(-58.588929, -34.576913)"
Caseros,410.78,Caseros,"c(-58.56973, -34.607003)"
Caseros,2216.49,Caseros,"c(-58.563146, -34.608082)"
Sur,12500,Ciudadela,"c(-58.542879, -34.635744)"
Centro,109.4,Martín Coronado,"c(-58.59194, -34.587861)"
Caseros,400,Caseros,"c(-58.541738, -34.616835)"
Centro,2500,Martín Coronado,"c(-58.595234, -34.587101)"
Centro,2500,Martín Coronado,"c(-58.595234, -34.587101)"
Centro,2405.06,Villa Bosch,"c(-58.568677, -34.58973)"
Centro,176.92,Villa Bosch,"c(-58.588929, -34.576913)"
Caseros,2152.78,Caseros,"c(-58.567309, -34.605557)"
Este,2802.17,Sáenz Peña,"c(-58.524114, -34.599029)"
Caseros,416.67,Caseros,"c(-58.55802, -34.60699)"
Caseros,404.23,Caseros,"c(-58.55802, -34.60699)"
Este,526.92,Santos Lugares,"c(-58.543769, -34.599782)"
Caseros,301.67,Caseros,"c(-58.55802, -34.60699)"
Este,527.03,Santos Lugares,"c(-58.546734, -34.599065)"
Este,446.88,Santos Lugares,"c(-58.543769, -34.599782)"
Este,438.1,Santos Lugares,"c(-58.543769, -34.599782)"
Caseros,337.11,Caseros,"c(-58.563939, -34.606881)"
Caseros,418.46,Caseros,"c(-58.55802, -34.60699)"
Caseros,410.81,Caseros,"c(-58.55802, -34.60699)"
Este,513.16,Santos Lugares,"c(-58.549198, -34.595607)"
Este,473.33,Santos Lugares,"c(-58.543769, -34.599782)"
Caseros,369.81,Caseros,"c(-58.563939, -34.606881)"
Caseros,412.7,Caseros,"c(-58.569587, -34.613915)"
Caseros,179.31,Caseros,"c(-58.564261, -34.600176)"
Caseros,2164.95,Caseros,"c(-58.563463, -34.609483)"
Caseros,2187.5,Caseros,"c(-58.561947, -34.601849)"
Caseros,2303.03,Caseros,"c(-58.560851, -34.595304)"
Caseros,2228.57,Caseros,"c(-58.565145, -34.597516)"
Caseros,2529.41,Caseros,"c(-58.563463, -34.609483)"
Caseros,2604.17,Caseros,"c(-58.560543, -34.601215)"
Caseros,2242.42,Caseros,"c(-58.559917, -34.600397)"
Este,2586.21,Santos Lugares,"c(-58.545544, -34.600589)"
Caseros,2250,Caseros,"c(-58.564252, -34.610273)"
Este,2600,Santos Lugares,"c(-58.537871, -34.601616)"
Caseros,2171.05,Caseros,"c(-58.563911, -34.621437)"
Caseros,2272.73,Caseros,"c(-58.561993, -34.609497)"
Caseros,2241.38,Caseros,"c(-58.560503, -34.611257)"
Caseros,370.08,Caseros,"c(-58.574162, -34.619793)"
Caseros,365.74,Caseros,"c(-58.564762, -34.626617)"
Caseros,369.57,Caseros,"c(-58.57586, -34.608332)"
Caseros,2321.43,Caseros,"c(-58.569253, -34.606592)"
Este,510.53,Santos Lugares,"c(-58.549198, -34.595607)"
Este,509.8,Santos Lugares,"c(-58.550528, -34.599636)"
Este,510.53,Santos Lugares,"c(-58.549198, -34.595607)"
Este,453.12,Santos Lugares,"c(-58.550528, -34.599636)"
Centro,2486.49,Villa Bosch,"c(-58.566915, -34.589621)"
Este,2772.09,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,3039.22,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2664.29,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2582,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2492.31,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2928.74,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2518.6,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,3001.96,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2825.64,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2663.95,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2554.76,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2628.57,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2626.74,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2789.74,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2519.05,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2480.95,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2751.28,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2715.38,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2676.92,Sáenz Peña,"c(-58.524143, -34.599057)"
Caseros,2790.7,Caseros,"c(-58.565347, -34.601118)"
Caseros,2183.1,Caseros,"c(-58.566936, -34.605636)"
Este,2460.69,Sáenz Peña,"c(-58.524114, -34.599029)"
Este,2500,Santos Lugares,"c(-58.543424, -34.598024)"
Caseros,2285.71,Caseros,"c(-58.563175, -34.608985)"
Centro,202.56,Villa Bosch,"c(-58.588929, -34.576913)"
Caseros,420,Caseros,"c(-58.541738, -34.616835)"
Caseros,2222.22,Caseros,"c(-58.559902, -34.596805)"
Caseros,420,Caseros,"c(-58.541738, -34.616835)"
Norte,2200,Loma Hermosa,"c(-58.601901, -34.563581)"
Este,2567.57,Santos Lugares,"c(-58.5454, -34.602169)"
Centro,3089.11,Ciudad Jardín Lomas del Palomar,"c(-58.59526, -34.604176)"
Caseros,2216.49,Caseros,"c(-58.563146, -34.608082)"
Centro,202.56,Villa Bosch,"c(-58.588929, -34.576913)"
Centro,2588.24,Villa Bosch,"c(-58.567787, -34.587724)"
Caseros,343.86,Caseros,"c(-58.576513, -34.600458)"
Norte,2200,Loma Hermosa,"c(-58.601901, -34.563581)"
Caseros,400,Caseros,"c(-58.541738, -34.616835)"
Centro,202.56,Villa Bosch,"c(-58.588929, -34.576913)"
Caseros,334.71,Caseros,"c(-58.567644, -34.599751)"
Caseros,410.78,Caseros,"c(-58.56973, -34.607003)"
Caseros,390.45,Caseros,"c(-58.549697, -34.615237)"
Sur,2250,Ciudadela,"c(-58.54261, -34.641301)"
Caseros,2268.04,Caseros,"c(-58.563463, -34.609483)"
Caseros,2954.55,Caseros,"c(-58.551138, -34.608882)"
Caseros,122.87,Caseros,"c(-58.564261, -34.600176)"
Este,466.67,Santos Lugares,"c(-58.550528, -34.599636)"
Caseros,416.67,Caseros,"c(-58.56437, -34.610644)"
Caseros,138.46,Caseros,"c(-58.56865, -34.619142)"
Sur,2444.44,Ciudadela,"c(-58.540819, -34.642519)"
Caseros,2321.43,Caseros,"c(-58.567776, -34.607407)"
Este,594.41,Sáenz Peña,"c(-58.537646, -34.59639)"
Centro,2444.44,Ciudad Jardín Lomas del Palomar,"c(-58.591368, -34.59621)"
Centro,2444.44,Ciudad Jardín Lomas del Palomar,"c(-58.591368, -34.59621)"
Caseros,2142.86,Caseros,"c(-58.562222, -34.609027)"
Caseros,416.67,Caseros,"c(-58.563939, -34.606881)"
Caseros,366.94,Caseros,"c(-58.551357, -34.620834)"
Sur,2250,Ciudadela,"c(-58.54261, -34.641301)"
Este,500,Santos Lugares,"c(-58.549198, -34.595607)"
Caseros,250,Caseros,"c(-58.564597, -34.614665)"
Caseros,390.45,Caseros,"c(-58.549644, -34.61523)"
Caseros,2696.97,Caseros,"c(-58.558879, -34.607704)"
Centro,204.87,Villa Bosch,"c(-58.588929, -34.576913)"
Sur,3500,Ciudadela,"c(-58.543714, -34.637948)"
Este,442.67,Santos Lugares,"c(-58.550528, -34.599636)"
Caseros,363.64,Caseros,"c(-58.555256, -34.620116)"
Caseros,2142.86,Caseros,"c(-58.562222, -34.609027)"
Caseros,242.42,Caseros,"c(-58.553071, -34.620654)"
Este,2802.17,Sáenz Peña,"c(-58.524114, -34.599029)"
Este,665,Sáenz Peña,"c(-58.531106, -34.602918)"
Caseros,2205.88,Caseros,"c(-58.562222, -34.609016)"
Este,451.61,Santos Lugares,"c(-58.550528, -34.599636)"
Caseros,412.7,Caseros,"c(-58.569587, -34.613915)"
Este,2605.26,Sáenz Peña,"c(-58.528212, -34.601873)"
Caseros,2321.43,Caseros,"c(-58.567776, -34.607407)"
Caseros,273.04,Caseros,"c(-58.576555, -34.619906)"
Este,2702.38,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2965.27,Sáenz Peña,"c(-58.524143, -34.599057)"
Sur,2307.82,Villa Raffo,"c(-58.530441, -34.608515)"
Este,524.14,Santos Lugares,"c(-58.549198, -34.595607)"
Este,513.16,Santos Lugares,"c(-58.549198, -34.595607)"
Este,524.14,Santos Lugares,"c(-58.549198, -34.595607)"
Este,565.38,Santos Lugares,"c(-58.549198, -34.595607)"
Este,503.57,Santos Lugares,"c(-58.543769, -34.599782)"
Este,2736.05,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,410.96,Santos Lugares,"c(-58.543769, -34.599782)"
Este,2620,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,540,Santos Lugares,"c(-58.543769, -34.599782)"
Este,581.82,Santos Lugares,"c(-58.549096, -34.59541)"
Este,565.38,Santos Lugares,"c(-58.549198, -34.595607)"
Este,2738.1,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,581.82,Santos Lugares,"c(-58.549096, -34.59541)"
Este,515.79,Santos Lugares,"c(-58.549198, -34.595607)"
Este,2481.4,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,524.14,Santos Lugares,"c(-58.549198, -34.595607)"
Caseros,372.84,Caseros,"c(-58.55802, -34.60699)"
Este,470.97,Santos Lugares,"c(-58.543769, -34.599782)"
Este,2964.71,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,2656,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,515.79,Santos Lugares,"c(-58.549198, -34.595607)"
Este,2592.86,Sáenz Peña,"c(-58.524143, -34.599057)"
Este,410.42,Santos Lugares,"c(-58.543769, -34.599782)"
Este,402.33,Santos Lugares,"c(-58.543769, -34.599782)"
Este,515.79,Santos Lugares,"c(-58.549198, -34.595607)"
Este,524.14,Santos Lugares,"c(-58.549198, -34.595607)"
